ts,open,high,low,close,volume
1769253900000,2964.17,2964.5,2962.58,2962.58,94.42942
1769254200000,2962.58,2962.79,2961.98,2962.78,54.99089
1769254500000,2962.78,2963.09,2962.2,2962.54,46.75695
1769254800000,2962.54,2964.63,2962.54,2963.71,89.94456
1769255100000,2963.71,2964.05,2963.71,2963.72,16.2117
1769255400000,2963.72,2963.72,2962.21,2962.21,56.15617
1769255700000,2962.21,2962.21,2960.44,2961.14,152.34274
1769256000000,2961.14,2961.26,2960.35,2960.36,33.09006
1769256300000,2960.36,2960.81,2959.53,2960.8,105.62919
1769256600000,2960.8,2960.81,2960.14,2960.45,93.18432
1769256900000,2960.45,2961.25,2960.1,2961.25,28.7879
1769257200000,2961.25,2963.07,2961.25,2962.21,43.74936
1769257500000,2962.21,2962.23,2960.94,2962.23,86.54979
1769257800000,2962.23,2965.21,2962.22,2962.68,151.08189
1769258100000,2962.68,2962.68,2959.67,2961.11,86.10314
1769258400000,2961.11,2962.08,2961.11,2962.0,68.90148
1769258700000,2962.0,2962.52,2961.53,2962.51,56.11374
1769259000000,2962.51,2963.3,2961.64,2962.65,43.14241
1769259300000,2962.65,2962.95,2962.22,2962.62,38.25029
1769259600000,2962.62,2963.41,2962.09,2963.41,27.23181
1769259900000,2963.41,2963.69,2961.7,2961.71,74.91796
1769260200000,2961.71,2962.05,2961.7,2961.77,61.09899
1769260500000,2961.77,2961.77,2960.72,2960.95,107.1821
1769260800000,2960.95,2960.95,2960.25,2960.59,77.03992
1769261100000,2960.59,2960.96,2960.08,2960.95,86.68159
1769261400000,2960.95,2960.96,2960.08,2960.64,69.77444
1769261700000,2960.64,2961.87,2960.09,2960.15,75.51011
1769262000000,2960.15,2960.86,2960.0,2960.85,53.64825
1769262300000,2960.85,2961.35,2960.69,2960.7,35.36999
1769262600000,2960.7,2960.7,2959.6,2960.11,131.55548
1769262900000,2960.11,2960.6,2948.32,2948.93,743.83078
1769263200000,2948.93,2952.87,2943.76,2952.76,687.57834
1769263500000,2952.76,2953.39,2949.45,2952.54,367.19238
1769263800000,2952.54,2958.49,2949.54,2956.19,551.71687
1769264100000,2956.19,2957.27,2953.45,2956.12,428.94139
1769264400000,2956.12,2956.68,2954.1,2954.16,96.85307
1769264700000,2954.16,2956.19,2954.16,2955.78,100.40635
1769265000000,2955.78,2958.73,2954.5,2958.67,97.14141
1769265300000,2958.67,2959.77,2958.07,2958.84,141.73437
1769265600000,2958.84,2959.73,2957.93,2958.29,71.86014
1769265900000,2958.29,2959.86,2957.63,2959.28,124.43532
1769266200000,2959.28,2959.66,2958.59,2959.49,75.46463
1769266500000,2959.49,2959.5,2958.59,2959.48,47.63643
1769266800000,2959.48,2964.45,2959.48,2962.62,245.67471
1769267100000,2962.62,2967.63,2962.62,2966.27,343.27169
1769267400000,2966.27,2968.36,2964.91,2968.19,345.89666
1769267700000,2968.19,2968.19,2964.77,2965.64,228.57858
1769268000000,2965.64,2966.93,2963.96,2963.97,158.75487
1769268300000,2963.97,2965.11,2962.55,2964.3,318.90255
1769268600000,2964.3,2965.47,2963.23,2964.7,164.08994
1769268900000,2964.7,2964.71,2960.1,2960.44,232.41031
1769269200000,2960.44,2962.9,2959.58,2959.85,246.94187
1769269500000,2959.85,2961.72,2959.64,2961.72,153.4612
1769269800000,2961.72,2961.72,2956.79,2957.94,332.41553
1769270100000,2957.94,2957.94,2955.76,2957.14,348.39458
1769270400000,2957.14,2959.61,2955.57,2956.61,440.02582
1769270700000,2956.61,2961.49,2956.47,2960.25,198.73563
1769271000000,2960.25,2961.85,2955.43,2957.13,515.11545
1769271300000,2957.13,2958.15,2952.14,2954.06,380.15183
1769271600000,2954.06,2955.56,2953.75,2953.75,120.99933
1769271900000,2953.75,2955.87,2952.73,2955.5,81.94886
1769272200000,2955.5,2955.87,2954.64,2954.64,82.10981
1769272500000,2954.64,2955.34,2953.11,2954.86,128.86914
1769272800000,2954.86,2957.1,2954.53,2956.63,77.87681
1769273100000,2956.63,2959.88,2955.74,2959.87,221.12206
1769273400000,2959.87,2961.42,2959.3,2959.41,100.02638
1769273700000,2959.41,2960.95,2958.63,2958.84,113.98454
1769274000000,2958.84,2960.21,2958.27,2958.32,152.94863
1769274300000,2958.32,2960.7,2957.86,2959.17,149.87089
1769274600000,2959.17,2964.36,2959.17,2963.52,244.73805
1769274900000,2963.52,2963.82,2961.34,2963.82,140.60437
1769275200000,2963.82,2965.91,2963.24,2965.43,88.50167
1769275500000,2965.43,2966.25,2963.43,2963.87,116.28659
1769275800000,2963.87,2964.79,2962.18,2962.26,98.31975
1769276100000,2962.26,2963.9,2961.49,2963.8,48.16569
1769276400000,2963.8,2964.92,2962.47,2962.47,112.91863
1769276700000,2962.47,2963.7,2961.49,2963.57,154.92371
1769277000000,2963.57,2964.81,2962.75,2962.81,44.12507
1769277300000,2962.81,2964.54,2962.71,2964.28,67.59968
1769277600000,2964.28,2964.96,2963.65,2964.48,109.57017
1769277900000,2964.48,2965.19,2964.35,2964.35,80.3427
1769278200000,2964.35,2966.0,2964.06,2964.87,109.92763
1769278500000,2964.87,2965.23,2964.27,2964.73,40.2851
1769278800000,2964.73,2964.73,2962.18,2963.01,73.85214
1769279100000,2963.01,2965.34,2962.82,2965.34,62.70562
1769279400000,2965.34,2967.24,2965.0,2966.38,104.6645
1769279700000,2966.38,2968.6,2965.99,2967.31,157.4503
1769280000000,2967.31,2967.71,2962.24,2963.13,209.40552
1769280300000,2963.13,2964.62,2963.12,2963.78,78.18472
1769280600000,2963.78,2964.47,2963.56,2963.8,57.24529
1769280900000,2963.8,2964.41,2963.65,2963.65,54.31158
1769281200000,2963.65,2964.31,2962.72,2962.72,89.96902
1769281500000,2962.72,2962.72,2960.63,2960.63,80.50727
1769281800000,2960.63,2960.64,2957.0,2958.31,262.99043
1769282100000,2958.31,2958.75,2957.41,2957.48,75.39249
1769282400000,2957.48,2958.43,2956.27,2957.93,86.64054
1769282700000,2957.93,2958.45,2957.15,2957.79,60.41856
1769283000000,2957.79,2958.39,2957.08,2957.66,66.7468
1769283300000,2957.66,2958.06,2956.67,2957.35,66.70602
1769283600000,2957.35,2957.35,2956.51,2957.25,46.36617
1769283900000,2957.25,2957.7,2952.76,2954.38,182.33401
1769284200000,2954.38,2955.68,2953.96,2955.24,96.99025
1769284500000,2955.24,2955.55,2953.89,2953.89,112.65693
1769284800000,2953.89,2957.36,2953.75,2956.61,333.80226
1769285100000,2956.61,2956.62,2955.66,2956.41,42.37645
1769285400000,2956.41,2957.43,2955.41,2957.36,123.75224
1769285700000,2957.36,2959.07,2957.36,2957.87,74.7927
1769286000000,2957.87,2958.71,2957.87,2958.22,29.35606
1769286300000,2958.22,2958.7,2958.04,2958.05,25.84362
1769286600000,2958.05,2958.05,2956.79,2957.69,40.17789
1769286900000,2957.69,2957.73,2957.01,2957.01,30.23036
1769287200000,2957.01,2957.81,2956.82,2957.06,47.23704
1769287500000,2957.06,2957.06,2956.56,2956.91,21.50129
1769287800000,2956.91,2957.01,2956.35,2956.49,20.21054
1769288100000,2956.49,2957.0,2956.15,2956.5,58.10683
1769288400000,2956.5,2956.51,2954.79,2954.8,57.76592
1769288700000,2954.8,2954.94,2952.68,2953.24,168.52163
1769289000000,2953.24,2954.57,2949.45,2952.06,224.96979
1769289300000,2952.06,2952.89,2951.32,2952.51,98.25998
1769289600000,2952.51,2953.54,2951.84,2952.78,70.33194
1769289900000,2952.78,2952.82,2952.3,2952.52,23.65887
1769290200000,2952.52,2953.04,2951.75,2952.14,48.38659
1769290500000,2952.14,2953.78,2952.13,2953.33,74.7195
1769290800000,2953.33,2957.68,2953.33,2956.56,196.30694
1769291100000,2956.56,2956.75,2954.93,2955.67,54.41325
1769291400000,2955.67,2957.82,2955.16,2956.45,149.61505
1769291700000,2956.45,2958.22,2956.37,2958.22,29.25554
1769292000000,2958.22,2960.33,2958.22,2959.2,61.05483
1769292300000,2959.2,2960.37,2959.01,2960.37,76.91052
1769292600000,2960.37,2964.64,2960.37,2963.11,177.87233
1769292900000,2963.11,2964.53,2961.74,2962.94,132.86711
1769293200000,2962.94,2963.49,2961.8,2961.8,48.24497
1769293500000,2961.8,2962.13,2961.12,2961.37,37.47193
